model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
timpal0l/sol (few-shot),2.22,10731540480.0,32002.0,4096,3700.95,📝,✗,✗,57.06 ± 1.54 / 71.09 ± 1.17@@57.0581931910908,65.14 ± 1.62 / 52.85 ± 3.03@@65.14121122847969,65.88 ± 1.53 / 52.89 ± 2.29@@65.87891351548755,26.41 ± 3.80 / 51.92 ± 5.30@@26.40777188630721,19.58 ± 1.29 / 53.93 ± 2.90@@19.578444708505103,77.87 ± 1.44 / 51.60 ± 1.97@@77.87254244220347,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
google/gemma-2-9b-it (few-shot),2.24,9241705984.0,256000.0,4096,2597.9,📝,✓,✗,39.78 ± 0.51 / 39.82 ± 0.50@@39.77677664111815,65.78 ± 1.44 / 43.73 ± 1.40@@65.78121819673808,63.83 ± 1.35 / 45.58 ± 2.34@@63.832094678892126,61.14 ± 1.46 / 80.20 ± 0.80@@61.143608326639345,48.43 ± 2.09 / 73.25 ± 1.33@@48.43406175694695,68.86 ± 1.30 / 38.27 ± 1.36@@68.85639832526394,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
nvidia/mistral-nemo-minitron-8b-base (few-shot),2.26,8414105600.0,131072.0,8192,1203.56,🧠,✓,✗,55.29 ± 1.82 / 69.90 ± 1.64@@55.29122440029253,64.15 ± 1.20 / 47.04 ± 3.09@@64.1488744124368,62.16 ± 1.91 / 46.60 ± 2.86@@62.16083287884635,32.30 ± 3.70 / 60.88 ± 3.83@@32.295786936979596,22.82 ± 1.34 / 57.53 ± 2.19@@22.817544791767546,71.46 ± 4.64 / 48.01 ± 6.06@@71.45968526954206,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.3.0@@140300
"meta-llama/Llama-2-70b-hf (few-shot, val)",2.27,68976653312.0,32000.0,4094,1891.65,🧠,✓,✗,59.68 ± 3.30 / 70.62 ± 3.08@@59.67906746385634,62.46 ± 4.62 / 60.77 ± 4.36@@62.46455617374501,64.68 ± 3.04 / 61.69 ± 2.31@@64.67868944683299,27.34 ± 12.20 / 50.42 ± 9.24@@27.33802724940014,3.95 ± 4.66 / 36.08 ± 3.27@@3.9545574565438515,78.69 ± 3.09 / 57.44 ± 4.59@@78.68652286631821,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
meta-llama/Meta-Llama-3-70B-instruct (few-shot),2.27,70553706496.0,128256.0,8192,1194.24,📝,✓,✗,38.56 ± 0.72 / 39.86 ± 0.37@@38.560187366747876,76.02 ± 1.19 / 61.86 ± 1.40@@76.02380140354342,76.81 ± 0.90 / 65.69 ± 2.43@@76.81098513781015,50.12 ± 1.44 / 72.84 ± 1.41@@50.123784531168425,35.47 ± 2.76 / 64.85 ± 2.45@@35.473071888449645,71.37 ± 1.06 / 41.84 ± 1.48@@71.37206422905227,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
google/gemma-2-9b (few-shot),2.31,9241705984.0,256000.0,4096,919.55,🧠,✓,✗,37.52 ± 0.90 / 38.59 ± 0.78@@37.517347409800294,67.63 ± 2.06 / 50.55 ± 3.30@@67.63454383016351,66.90 ± 1.49 / 52.18 ± 3.03@@66.89966978370504,52.08 ± 2.40 / 73.81 ± 1.89@@52.076709752557605,43.54 ± 2.83 / 70.17 ± 1.87@@43.538407283448024,70.87 ± 4.05 / 45.27 ± 5.51@@70.87404251265791,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
sentence-transformers/use-cmlm-multilingual,2.31,472022179.0,501153.0,512,16916.45,🔍,✓,✗,53.73 ± 1.79 / 66.95 ± 1.90@@53.73480237545287,87.46 ± 0.81 / 87.60 ± 0.81@@87.4639530759335,84.16 ± 0.74 / 85.53 ± 0.86@@84.16360589283394,20.98 ± 16.13 / 59.34 ± 7.72@@20.98044413972601,15.36 ± 11.29 / 56.75 ± 5.41@@15.358139280481135,59.27 ± 1.77 / 41.94 ± 1.64@@59.273050644694806,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"gpt-4-1106-preview (zero-shot, val)",2.32,,100256.0,8191,589.23,📝,✓,✗,39.62 ± 1.29 / 38.68 ± 0.94@@39.61938107742748,60.16 ± 3.63 / 49.38 ± 2.48@@60.15725280348334,48.74 ± 2.05 / 40.98 ± 1.83@@48.73819384039068,71.38 ± 2.71 / 85.52 ± 1.38@@71.38243979938598,42.94 ± 3.66 / 71.26 ± 1.76@@42.94384654168774,69.46 ± 0.84 / 36.04 ± 1.53@@69.45827020462164,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
mistralai/Mistral-Small-24B-Instruct-2501 (few-shot),2.4,23572403200.0,131072.0,32768,2350.82,📝,✓,✗,37.19 ± 0.89 / 37.45 ± 0.80@@37.194640347562824,69.51 ± 1.70 / 50.59 ± 2.26@@69.51051360048689,71.76 ± 1.31 / 54.47 ± 2.87@@71.75508748341596,48.12 ± 1.81 / 71.25 ± 1.81@@48.1246884587707,31.37 ± 1.97 / 57.85 ± 2.59@@31.37272837289559,70.87 ± 2.60 / 41.95 ± 3.06@@70.87310682774753,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
four-two-labs/orpo-llama-3-swe (few-shot),2.41,8030277632.0,128258.0,8192,4974.22,📝,✗,✗,48.85 ± 2.22 / 64.93 ± 2.00@@48.85347565492877,61.63 ± 1.64 / 48.09 ± 2.89@@61.62930130081635,61.30 ± 1.94 / 50.08 ± 2.60@@61.3009884453856,24.15 ± 6.12 / 56.29 ± 6.81@@24.15383785370869,21.33 ± 3.03 / 58.05 ± 2.59@@21.326952564555285,75.19 ± 3.59 / 53.66 ± 4.34@@75.18605150002199,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
skole-gpt-mixtral (few-shot),2.42,,32000.0,32768,3582.66,🧠,✓,✗,52.09 ± 3.90 / 65.72 ± 4.14@@52.09231574019816,62.52 ± 2.14 / 49.42 ± 3.83@@62.51762609703668,61.55 ± 1.68 / 47.53 ± 3.65@@61.54572360618894,21.99 ± 2.17 / 58.21 ± 2.38@@21.986258567394312,16.84 ± 2.07 / 51.76 ± 4.30@@16.841360295595656,72.60 ± 3.24 / 47.30 ± 4.17@@72.59775261900339,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"gpt-4o-mini-2024-07-18 (zero-shot, val)",2.43,,200019.0,8191,862.54,📝,✓,✗,39.82 ± 1.20 / 37.70 ± 1.08@@39.823925649165204,60.43 ± 2.46 / 37.82 ± 2.68@@60.42874230901063,55.59 ± 2.84 / 32.20 ± 2.11@@55.586681585756615,54.84 ± 2.09 / 74.79 ± 1.33@@54.84165782623247,33.80 ± 3.42 / 62.11 ± 2.19@@33.799386495981786,70.12 ± 0.99 / 36.55 ± 1.71@@70.1202656301464,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001
microsoft/mdeberta-v3-base,2.43,278809344.0,251000.0,512,7688.88,🔍,✓,✗,32.43 ± 10.83 / 41.48 ± 6.47@@32.432300125733676,84.74 ± 2.28 / 85.83 ± 1.92@@84.74006408407263,81.51 ± 0.64 / 83.34 ± 0.49@@81.51358304155234,61.59 ± 2.17 / 79.08 ± 1.35@@61.59088284647504,47.06 ± 3.27 / 71.47 ± 2.11@@47.0581849241024,39.21 ± 3.88 / 25.70 ± 2.75@@39.21155916277665,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
mistralai/Mixtral-8x7B-v0.1 (few-shot),2.43,46702792704.0,32000.0,32768,2362.92,🧠,✓,✗,46.68 ± 3.59 / 59.99 ± 4.44@@46.68247283802781,63.92 ± 1.45 / 51.71 ± 3.49@@63.91697552444619,62.15 ± 1.56 / 49.74 ± 3.23@@62.15002132097609,33.38 ± 2.21 / 64.72 ± 1.46@@33.38147299988557,19.99 ± 2.53 / 58.41 ± 1.97@@19.98789637400163,71.91 ± 4.73 / 48.48 ± 6.01@@71.91234724263728,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.3.0@@140300
ZurichNLP/unsup-simcse-xlm-roberta-base,2.43,278043648.0,250002.0,512,34520.24,🔍,✓,✗,49.62 ± 2.72 / 62.56 ± 3.88@@49.61790248819426,86.56 ± 1.18 / 87.30 ± 0.95@@86.5609259774326,80.57 ± 1.55 / 83.03 ± 1.19@@80.57103162620332,38.45 ± 15.28 / 67.14 ± 7.71@@38.45436052952872,11.38 ± 7.59 / 51.68 ± 4.73@@11.37603461464293,47.61 ± 2.55 / 31.50 ± 2.41@@47.61247461865411,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
"meta-llama/Llama-2-70b-chat-hf (few-shot, val)",2.45,68976653312.0,32000.0,3841,1979.03,📝,✓,✗,55.12 ± 5.10 / 66.55 ± 5.07@@55.1195493280052,60.21 ± 1.86 / 47.06 ± 3.08@@60.213703417900945,62.99 ± 2.66 / 48.82 ± 5.49@@62.988245112141904,27.12 ± 4.90 / 54.26 ± 6.80@@27.1189109451259,6.82 ± 5.06 / 46.18 ± 4.14@@6.8217834302151195,69.99 ± 2.23 / 38.50 ± 3.93@@69.98709295540228,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
Nexusflow/Starling-LM-7B-beta (few-shot),2.45,7241748480.0,32002.0,4096,1990.47,📝,✗,✗,55.48 ± 1.77 / 69.68 ± 1.45@@55.47736716446031,66.22 ± 2.15 / 48.98 ± 4.65@@66.22438311345974,64.14 ± 1.26 / 49.59 ± 4.31@@64.13950662133897,26.13 ± 1.28 / 56.08 ± 2.05@@26.125051224936346,17.32 ± 0.77 / 54.57 ± 1.49@@17.32232456815289,56.91 ± 4.25 / 21.25 ± 4.83@@56.906963228691566,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,14.3.0@@140300
mgoin/Nemotron-4-340B-Instruct-hf-FP8 (few-shot),2.5,341029195776.0,256000.0,4096,1904.18,📝,✓,✗,25.18 ± 6.55 / 26.60 ± 5.64@@25.179736783992652,56.41 ± 4.08 / 40.15 ± 2.52@@56.40941855414429,55.60 ± 10.22 / 41.46 ± 7.34@@55.598961086703305,62.56 ± 12.80 / 78.17 ± 9.21@@62.55987619349121,53.09 ± 12.43 / 72.49 ± 10.07@@53.09369408387392,68.49 ± 4.62 / 42.57 ± 3.25@@68.49220571723004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
intfloat/multilingual-e5-base,2.5,278044162.0,250002.0,512,13783.97,🔍,✓,✗,52.11 ± 1.97 / 66.24 ± 1.88@@52.10770661018089,86.78 ± 1.50 / 87.57 ± 1.57@@86.78327496864222,80.40 ± 1.15 / 82.95 ± 1.15@@80.40495244654878,31.97 ± 10.03 / 62.96 ± 7.07@@31.97085567181896,11.00 ± 6.66 / 54.25 ± 4.11@@10.997250524603803,37.93 ± 3.68 / 24.48 ± 3.27@@37.93326267359904,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
google/rembert,2.53,575920384.0,250300.0,512,5179.84,🔍,✓,✗,33.01 ± 5.03 / 47.89 ± 5.39@@33.01395962413902,83.41 ± 0.99 / 84.15 ± 0.78@@83.41115893331643,80.79 ± 0.61 / 81.50 ± 0.51@@80.78774432094322,36.74 ± 16.69 / 65.50 ± 10.73@@36.735965182179186,14.28 ± 12.26 / 50.90 ± 9.85@@14.278821923034037,70.11 ± 1.37 / 53.50 ± 1.37@@70.11339366736406,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
CohereForAI/c4ai-command-r-08-2024 (few-shot),2.53,32296476672.0,256000.0,131072,1909.17,📝,✗,✗,35.80 ± 0.54 / 38.56 ± 0.56@@35.79727282043148,73.20 ± 1.45 / 46.13 ± 3.02@@73.1979386910201,72.26 ± 1.32 / 50.60 ± 3.32@@72.2607589512983,36.86 ± 1.57 / 68.01 ± 0.98@@36.85753636260244,23.40 ± 1.98 / 60.51 ± 1.62@@23.40214788750055,70.57 ± 1.28 / 40.32 ± 1.30@@70.57452539618414,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
norallm/normistral-11b-warm (few-shot),2.54,11429893120.0,51200.0,1024000,2500.58,🧠,✓,✗,48.61 ± 2.54 / 65.12 ± 2.50@@48.61484575180456,61.37 ± 1.24 / 57.90 ± 1.46@@61.369259422703706,60.37 ± 1.66 / 56.91 ± 2.36@@60.368967002027674,17.80 ± 3.84 / 53.63 ± 4.61@@17.80208912166339,17.77 ± 2.49 / 56.01 ± 2.54@@17.768174420421225,74.22 ± 3.26 / 52.37 ± 4.85@@74.2161730169392,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
allenai/Llama-3.1-Tulu-3-8B-SFT (few-shot),2.58,8030326784.0,128264.0,131072,7210.36,📝,✓,✗,37.10 ± 0.43 / 38.91 ± 0.41@@37.09921182485062,67.81 ± 1.52 / 61.18 ± 2.63@@67.80807421770845,67.64 ± 1.40 / 62.03 ± 3.12@@67.6383659078257,30.69 ± 2.32 / 53.94 ± 2.67@@30.685713724300314,20.92 ± 1.76 / 46.14 ± 2.00@@20.91607454173226,71.99 ± 3.64 / 47.79 ± 4.89@@71.99052702086121,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
Mabeck/Heidrun-Mistral-7B-chat (few-shot),2.59,7241732096.0,32000.0,4096,1418.7,📝,✗,✗,49.19 ± 1.64 / 63.36 ± 1.52@@49.18579758343295,61.41 ± 1.71 / 52.32 ± 2.63@@61.41328256052109,59.49 ± 1.26 / 49.45 ± 3.31@@59.4929928256158,15.17 ± 2.64 / 50.25 ± 4.51@@15.168333510623475,10.78 ± 1.99 / 50.08 ± 4.20@@10.778857952738743,73.08 ± 2.26 / 48.99 ± 2.91@@73.07560956642062,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,12.5.0@@120500
mhenrichsen/danskgpt-chat-v2.1 (few-shot),2.64,,32002.0,32768,5085.22,📝,✓,✗,53.41 ± 1.46 / 69.49 ± 1.05@@53.41390487469768,62.43 ± 0.94 / 51.64 ± 2.45@@62.42846504543091,60.68 ± 0.74 / 48.91 ± 2.93@@60.68164949087505,-1.16 ± 1.31 / 33.56 ± 0.43@@-1.1583429432505885,0.30 ± 0.71 / 34.08 ± 0.32@@0.29961067637625244,76.77 ± 1.59 / 49.15 ± 2.79@@76.77206247572677,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000
meta-llama/Llama-3.1-8B (few-shot),2.65,8030261248.0,128256.0,131072,1481.56,🧠,✓,✗,34.02 ± 0.93 / 37.19 ± 0.86@@34.01843076696901,65.17 ± 2.02 / 52.91 ± 2.25@@65.16709944547412,60.22 ± 2.29 / 50.51 ± 3.15@@60.21796142939459,32.48 ± 3.31 / 63.48 ± 2.97@@32.47524321502928,18.38 ± 4.77 / 49.87 ± 5.55@@18.378411455184537,73.80 ± 3.41 / 51.07 ± 4.66@@73.80102282289343,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,14.3.0@@140300
AI-Sweden-Models/bert-large-nordic-pile-1M-steps,2.65,369423360.0,64000.0,512,16956.68,🔍,✓,✗,41.28 ± 2.02 / 52.74 ± 3.18@@41.27868986365645,84.87 ± 0.86 / 85.34 ± 0.87@@84.87478089796824,79.52 ± 1.71 / 81.47 ± 1.59@@79.52244184560057,38.53 ± 8.28 / 67.43 ± 4.04@@38.52721896069338,13.87 ± 5.44 / 54.72 ± 3.40@@13.867236747282439,39.26 ± 3.56 / 27.96 ± 2.61@@39.25886617241291,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400
ibm-granite/granite-3.0-8b-base (few-shot),2.67,8170835968.0,49152.0,4096,2514.59,🧠,✓,✗,53.27 ± 1.54 / 66.73 ± 1.31@@53.267582457575045,49.94 ± 2.13 / 46.49 ± 2.00@@49.940099793325636,52.17 ± 1.02 / 46.44 ± 2.72@@52.17010904522484,17.22 ± 3.50 / 50.42 ± 5.01@@17.219265255400025,12.01 ± 2.47 / 47.98 ± 4.37@@12.006213799739204,69.52 ± 2.79 / 45.04 ± 3.42@@69.52351443527925,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ibm-granite/granite-3.0-8b-instruct (few-shot),2.67,8170848256.0,49155.0,4096,1279.43,📝,✓,✗,51.36 ± 2.53 / 66.19 ± 2.08@@51.358588208774556,53.79 ± 1.52 / 46.58 ± 1.73@@53.78656549307117,56.13 ± 0.91 / 47.13 ± 2.04@@56.1262866837299,6.83 ± 2.54 / 38.36 ± 3.81@@6.830858320437602,8.09 ± 2.03 / 41.05 ± 4.14@@8.09099576797457,73.03 ± 1.99 / 48.01 ± 2.52@@73.03295060493173,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
timpal0l/njord-alpha (few-shot),2.67,7241732096.0,32000.0,32768,5431.36,🧠,✓,✗,48.03 ± 1.71 / 65.89 ± 1.68@@48.02886398209007,50.47 ± 2.96 / 43.31 ± 2.54@@50.46511218815735,51.97 ± 3.83 / 42.66 ± 5.03@@51.97465390417608,22.65 ± 3.80 / 51.83 ± 5.03@@22.654902262598327,17.10 ± 4.78 / 49.03 ± 6.45@@17.101735786189984,68.08 ± 4.22 / 44.72 ± 4.47@@68.08294587285796,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
meta-llama/Meta-Llama-3-8B-Instruct (few-shot),2.67,8030261248.0,128256.0,8192,1483.24,📝,✓,✗,34.47 ± 0.44 / 37.96 ± 0.40@@34.46684178610501,66.56 ± 1.70 / 58.47 ± 2.40@@66.56055511951318,68.29 ± 1.47 / 61.22 ± 2.25@@68.2879446541498,28.22 ± 1.37 / 59.51 ± 1.44@@28.22273026280872,18.21 ± 2.21 / 52.84 ± 2.30@@18.213167905272186,73.23 ± 1.29 / 47.34 ± 1.99@@73.23271923869893,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
utter-project/EuroLLM-9B (few-shot),2.67,9152319488.0,128000.0,4096,2383.62,🧠,✓,✗,53.15 ± 1.21 / 68.75 ± 1.02@@53.14523626905361,53.28 ± 2.13 / 41.43 ± 3.22@@53.27880958161746,50.73 ± 1.79 / 41.00 ± 2.46@@50.7251076674072,8.49 ± 2.07 / 35.26 ± 1.14@@8.493218376206514,10.83 ± 1.88 / 38.20 ± 1.57@@10.833960616166653,73.16 ± 4.11 / 50.06 ± 5.81@@73.15936970343164,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
CohereForAI/aya-expanse-8b (few-shot),2.68,8028033024.0,256000.0,8192,1341.64,🧠,✗,✗,38.61 ± 2.28 / 51.46 ± 2.62@@38.61109129319334,66.55 ± 2.12 / 39.28 ± 3.45@@66.54810487384226,63.63 ± 1.62 / 37.25 ± 3.49@@63.63052782510598,15.80 ± 2.22 / 51.42 ± 3.79@@15.796156293666511,12.30 ± 2.38 / 51.96 ± 3.31@@12.296868772556069,71.49 ± 2.01 / 43.26 ± 2.53@@71.48773003247119,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"timpal0l/dolphin-2.9-llama3-8b-flashback (few-shot, val)",2.69,8030261248.0,128256.0,8192,1496.01,🧠,✗,✓,38.46 ± 2.21 / 38.96 ± 1.58@@38.46469589268066,67.25 ± 1.68 / 50.80 ± 3.28@@67.24907179442037,64.21 ± 3.45 / 50.09 ± 3.70@@64.20774225821924,31.48 ± 4.19 / 60.99 ± 4.70@@31.479137069351793,16.76 ± 3.49 / 50.89 ± 4.61@@16.759119231224055,63.86 ± 3.59 / 34.83 ± 3.55@@63.856114638497516,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
allenai/Llama-3.1-Tulu-3-8B-DPO (few-shot),2.69,8030326784.0,128264.0,131072,7205.86,📝,✓,✗,36.16 ± 0.41 / 38.73 ± 0.34@@36.16381490435829,65.37 ± 1.84 / 58.17 ± 2.27@@65.37309518722158,66.25 ± 1.48 / 59.99 ± 2.79@@66.25060396182099,25.14 ± 1.68 / 48.19 ± 1.70@@25.144148673558327,15.68 ± 1.84 / 40.96 ± 1.61@@15.680086392241213,70.39 ± 3.70 / 45.54 ± 4.69@@70.38550432563284,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
timpal0l/Llama-3-8B-flashback-v1 (few-shot),2.69,8030261248.0,128256.0,8192,3003.73,🧠,✓,✗,47.58 ± 1.91 / 64.35 ± 1.95@@47.577326073384484,59.09 ± 1.89 / 52.82 ± 2.60@@59.093130169791344,60.02 ± 1.44 / 52.04 ± 2.63@@60.02444405109907,10.52 ± 4.67 / 46.13 ± 6.95@@10.522714544812366,6.67 ± 4.53 / 40.61 ± 5.40@@6.669506171333536,71.90 ± 4.09 / 49.89 ± 4.89@@71.90366293341566,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
KBLab/megatron-bert-large-swedish-cased-110k,2.71,369554432.0,64128.0,512,7074.64,🔍,✓,✗,39.15 ± 3.29 / 53.00 ± 3.85@@39.14932139523744,84.03 ± 0.79 / 80.97 ± 0.92@@84.02546507600374,77.98 ± 1.36 / 74.25 ± 1.62@@77.98404896742299,21.39 ± 2.73 / 58.08 ± 1.93@@21.385060089742858,17.10 ± 3.43 / 57.00 ± 1.86@@17.09749332646068,47.41 ± 2.25 / 35.32 ± 1.71@@47.4123661874176,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
allenai/Llama-3.1-Tulu-3.1-8B (few-shot),2.71,8030326784.0,128264.0,131072,3364.57,🧠,✓,✗,36.49 ± 0.47 / 38.46 ± 0.42@@36.48908813366168,64.72 ± 1.69 / 54.76 ± 1.87@@64.72193216579691,66.60 ± 1.50 / 58.38 ± 2.88@@66.60338429126702,26.72 ± 1.56 / 50.34 ± 1.80@@26.723918951570113,17.06 ± 1.93 / 42.77 ± 1.47@@17.056379537049562,66.25 ± 3.48 / 40.19 ± 4.57@@66.2547160033992,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
microsoft/infoxlm-large,2.73,559890432.0,250002.0,514,22498.64,🔍,✓,✗,33.17 ± 10.05 / 44.10 ± 8.10@@33.17197890213964,88.98 ± 0.56 / 89.63 ± 0.43@@88.98146835366296,85.07 ± 0.90 / 86.79 ± 0.67@@85.06527601725227,8.84 ± 6.13 / 43.18 ± 5.23@@8.842127707382634,2.53 ± 2.89 / 44.37 ± 5.15@@2.531843769018669,65.93 ± 2.91 / 46.52 ± 3.54@@65.92639870297434,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
DDSC/roberta-base-scandinavian,2.73,124645632.0,50265.0,512,14490.87,🔍,✓,✗,46.74 ± 5.96 / 60.25 ± 6.04@@46.73728559287033,71.73 ± 15.69 / 68.50 ± 15.04@@71.73499515841837,79.80 ± 0.72 / 75.76 ± 0.90@@79.8000299725822,8.02 ± 12.19 / 50.30 ± 7.19@@8.017062444113018,17.04 ± 13.78 / 56.87 ± 7.06@@17.03812513828299,42.50 ± 1.17 / 29.26 ± 1.27@@42.49659036032759,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
mistralai/Mixtral-8x7B-Instruct-v0.1 (few-shot),2.73,46702792704.0,32000.0,32768,5535.32,📝,✓,✗,36.76 ± 0.69 / 38.81 ± 0.52@@36.75774337590195,55.02 ± 2.74 / 36.31 ± 1.97@@55.01997662150912,57.37 ± 2.34 / 38.25 ± 2.37@@57.36968745204894,30.73 ± 1.86 / 63.33 ± 2.10@@30.72870233936268,18.96 ± 2.45 / 52.64 ± 4.21@@18.957267584539917,70.24 ± 1.75 / 41.01 ± 2.00@@70.2413940794522,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
allenai/Llama-3.1-Tulu-3-8B (few-shot),2.73,8030326784.0,128264.0,131072,7235.06,📝,✓,✗,36.39 ± 0.46 / 38.80 ± 0.36@@36.38686469807402,64.07 ± 2.08 / 56.49 ± 2.39@@64.0686463494277,65.74 ± 1.47 / 59.55 ± 2.89@@65.73981308178088,25.72 ± 1.50 / 48.72 ± 1.55@@25.72423104238742,16.05 ± 1.71 / 41.49 ± 1.63@@16.049942430790004,66.04 ± 4.49 / 41.49 ± 5.60@@66.04354543124303,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
mistralai/Ministral-8B-Instruct-2410 (few-shot),2.74,8019808256.0,131072.0,32768,1300.24,📝,✓,✗,31.25 ± 1.21 / 33.48 ± 1.18@@31.250041839235816,67.24 ± 1.06 / 45.38 ± 2.20@@67.24448303900756,66.08 ± 1.05 / 47.58 ± 3.27@@66.08443731945482,28.72 ± 2.42 / 58.62 ± 3.68@@28.71911301489842,20.55 ± 3.71 / 54.24 ± 4.15@@20.549873335507936,68.91 ± 2.08 / 40.60 ± 2.39@@68.90654386608881,15.0.0@@150000,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),2.74,6738415616.0,32000.0,4096,5384.08,📝,✗,✗,50.94 ± 1.41 / 66.55 ± 1.06@@50.9389970534001,56.18 ± 3.05 / 49.39 ± 2.78@@56.18318187146545,56.96 ± 1.64 / 48.30 ± 5.46@@56.9601604399083,8.19 ± 1.95 / 45.17 ± 3.69@@8.186594768893615,5.55 ± 1.71 / 48.92 ± 2.94@@5.546760732747924,69.72 ± 2.52 / 41.35 ± 2.33@@69.71925813197832,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
