model,rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent,fone,scala_fo,foqa,fosent_version,fone_version,scala_fo_version,foqa_version
intfloat/multilingual-e5-base,3.68,278044162.0,250002.0,512,34526.69,✓,✗,10.97 ± 3.84 / 30.74 ± 5.68@@10.966467837630997,87.44 ± 0.35 / 88.01 ± 0.28@@87.44288840256142,7.38 ± 6.28 / 47.69 ± 4.51@@7.376363836676522,22.12 ± 5.23 / 14.80 ± 3.56@@22.12373278836654,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
AI-Sweden-Models/roberta-large-1160k,3.69,355412057.0,50265.0,512,14014.08,✓,✗,6.42 ± 5.53 / 24.34 ± 7.55@@6.423205861646052,88.24 ± 0.58 / 88.48 ± 0.54@@88.24470760740185,1.73 ± 1.70 / 42.32 ± 5.16@@1.7271349549022115,47.03 ± 3.42 / 35.08 ± 2.58@@47.026338432579976,13.3.0@@130300,10.0.1@@100001,10.0.1@@100001,13.0.0@@130000
tiiuae/Falcon3-7B-Base (few-shot),3.72,7455550464.0,131072.0,32768,2982.07,✓,✗,23.09 ± 6.92 / 44.58 ± 5.42@@23.09018811941165,55.64 ± 1.58 / 47.21 ± 3.24@@55.64396194151205,2.16 ± 1.87 / 46.60 ± 3.43@@2.163136927011447,54.37 ± 1.82 / 38.92 ± 1.49@@54.371333441346735,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.4.0@@140400
mideind/IceBERT,3.73,124442112.0,50000.0,512,16697.4,✓,✗,8.64 ± 5.25 / 29.80 ± 8.39@@8.638527638940143,86.50 ± 0.96 / 87.11 ± 0.90@@86.49873122147736,10.13 ± 8.55 / 47.31 ± 7.04@@10.134815568484886,8.28 ± 5.36 / 5.35 ± 3.50@@8.279819714079753,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ZurichNLP/unsup-simcse-xlm-roberta-base,3.76,278043648.0,250002.0,512,34520.24,✓,✗,21.20 ± 3.85 / 43.97 ± 3.72@@21.201574115016214,84.14 ± 0.67 / 84.82 ± 0.64@@84.13705331523902,1.33 ± 2.18 / 48.85 ± 1.23@@1.3325591741314953,22.95 ± 2.71 / 14.20 ± 1.78@@22.947372941623414,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
FacebookAI/xlm-roberta-large,3.76,561192082.0,250002.0,512,8459.71,✓,✗,5.14 ± 5.42 / 22.03 ± 5.69@@5.139143108937607,87.85 ± 0.95 / 88.21 ± 0.87@@87.84520438068228,1.17 ± 2.11 / 40.94 ± 5.07@@1.1739459417364086,39.88 ± 2.04 / 27.72 ± 1.48@@39.884868961268076,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-8b-code-base-4k (few-shot),3.77,8054910976.0,49152.0,4096,2312.61,✓,✗,21.19 ± 5.19 / 32.96 ± 5.05@@21.186017562740233,66.82 ± 2.36 / 65.84 ± 2.35@@66.81729056114254,-0.36 ± 1.67 / 37.57 ± 3.35@@-0.36094124245226467,51.89 ± 1.05 / 36.47 ± 0.96@@51.89494865874947,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
mideind/IceBERT-ic3,3.77,124442112.0,50000.0,512,12118.55,✓,✗,15.94 ± 5.79 / 37.27 ± 7.66@@15.941577946906529,87.22 ± 0.68 / 87.92 ± 0.59@@87.2217603975701,6.23 ± 6.96 / 48.55 ± 4.87@@6.234126494739445,4.35 ± 2.54 / 2.98 ± 1.75@@4.349847172156032,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
vesteinn/XLMR-ENIS,3.79,124445952.0,50005.0,512,10711.0,✓,✗,15.11 ± 7.40 / 38.19 ± 7.66@@15.107278603004637,87.09 ± 0.76 / 87.71 ± 0.73@@87.08693081468599,3.09 ± 1.98 / 39.41 ± 4.45@@3.0903218598630264,8.73 ± 4.07 / 5.75 ± 2.66@@8.734347609810023,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
CohereForAI/aya-23-8B (few-shot),3.79,8028033024.0,256000.0,8192,2706.96,✗,✗,17.34 ± 5.56 / 37.16 ± 5.28@@17.34119850584905,62.22 ± 2.10 / 58.79 ± 2.20@@62.216269797067326,0.01 ± 2.43 / 37.74 ± 4.20@@0.013562375825645798,54.70 ± 0.93 / 38.70 ± 1.22@@54.704510514830496,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
KennethEnevoldsen/dfm-sentence-encoder-medium,3.85,124445952.0,50005.0,512,14997.83,✓,✗,10.17 ± 4.54 / 30.26 ± 5.80@@10.171300041298895,84.92 ± 0.70 / 85.65 ± 0.67@@84.92071443425552,2.96 ± 2.66 / 45.42 ± 4.03@@2.9640464744643333,20.08 ± 3.54 / 14.00 ± 2.44@@20.076735256494914,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),3.88,7241732096.0,32000.0,32766,633.64,✗,✗,15.85 ± 6.84 / 36.28 ± 7.13@@15.848555286006533,55.42 ± 2.12 / 46.41 ± 2.50@@55.4160056428996,1.11 ± 2.41 / 36.79 ± 4.00@@1.1100464583938563,50.80 ± 1.31 / 33.54 ± 1.29@@50.79766625671995,13.3.0@@130300,9.3.1@@90301,9.3.1@@90301,13.0.0@@130000
KBLab/megatron-bert-base-swedish-cased-125k,3.89,135291648.0,64128.0,512,15762.86,✓,✗,2.87 ± 3.48 / 19.80 ± 4.75@@2.865744081947396,80.61 ± 0.91 / 81.31 ± 0.89@@80.60765605240897,9.60 ± 3.82 / 52.30 ± 1.73@@9.60199314680292,17.37 ± 1.12 / 11.57 ± 0.86@@17.366021396329057,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
ibm-granite/granite-8b-code-instruct-4k (few-shot),3.89,8054910976.0,49152.0,4096,5616.81,✓,✗,21.59 ± 6.94 / 40.68 ± 5.50@@21.589376848012574,60.46 ± 2.53 / 58.29 ± 2.53@@60.45547562682601,0.51 ± 0.78 / 36.20 ± 2.37@@0.5051488277123225,49.02 ± 0.91 / 33.54 ± 1.00@@49.02310096953525,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
KBLab/megatron-bert-large-swedish-cased-165k,3.89,369554432.0,64128.0,512,7137.91,✓,✗,1.22 ± 4.49 / 25.53 ± 4.87@@1.2237441985192907,82.76 ± 0.95 / 83.43 ± 0.88@@82.75925475294977,7.58 ± 3.56 / 52.05 ± 1.14@@7.581368708513728,23.78 ± 2.02 / 16.13 ± 1.68@@23.78019551562614,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
occiglot/occiglot-7b-eu5-instruct (few-shot),3.91,7241748480.0,32002.0,4096,2351.43,✗,✗,8.21 ± 5.06 / 27.79 ± 5.76@@8.209778467708242,60.37 ± 3.60 / 59.38 ± 3.85@@60.3684832782308,0.00 ± 0.00 / 33.26 ± 0.34@@0.0,60.55 ± 1.76 / 43.69 ± 2.03@@60.54576602332945,13.3.0@@130300,12.5.2@@120502,12.3.1@@120301,13.0.0@@130000
vesteinn/IceBERT,3.92,124442112.0,50000.0,512,12360.45,✓,✗,8.64 ± 5.25 / 29.80 ± 8.39@@8.638527638940143,87.13 ± 0.58 / 87.70 ± 0.45@@87.1327548777402,3.66 ± 3.33 / 40.81 ± 4.34@@3.65821812385633,8.05 ± 5.61 / 5.07 ± 3.59@@8.047049844054039,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
clips/mfaq,3.92,278045952.0,250005.0,128,5591.18,✓,✗,16.49 ± 2.83 / 34.48 ± 3.01@@16.49273937498103,85.86 ± 0.51 / 86.55 ± 0.49@@85.85559296355078,0.80 ± 2.32 / 42.37 ± 4.42@@0.7960183774426798,2.93 ± 3.66 / 2.17 ± 2.62@@2.9303424486967917,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
NbAiLab/nb-roberta-base-scandinavian,3.93,124645632.0,50265.0,512,14050.9,✓,✗,4.80 ± 5.07 / 21.63 ± 2.01@@4.796371579139593,86.10 ± 0.64 / 86.75 ± 0.57@@86.10258524405356,6.28 ± 2.41 / 49.62 ± 2.08@@6.282299220238316,14.41 ± 3.08 / 9.89 ± 2.08@@14.406015829565963,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
bineric/NorskGPT-Llama-7B-v0.1 (few-shot),3.93,6738415616.0,32000.0,4096,5384.08,✗,✗,21.11 ± 6.06 / 41.25 ± 6.85@@21.11106795938622,53.38 ± 3.96 / 53.04 ± 3.85@@53.38118708330123,0.46 ± 2.01 / 44.83 ± 3.28@@0.46292454984257736,51.25 ± 1.12 / 35.99 ± 1.01@@51.24516752928609,14.1.2@@140102,12.5.2@@120502,12.3.2@@120302,13.0.0@@130000
mideind/IceBERT-mC4-is,3.95,124442112.0,50000.0,512,12307.57,✓,✗,1.73 ± 3.39 / 17.03 ± 2.53@@1.7271745233214868,88.44 ± 0.35 / 89.11 ± 0.38@@88.44384471678892,11.83 ± 4.90 / 48.95 ± 6.81@@11.828981290041556,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
Geotrend/bert-base-da-cased,3.95,103820544.0,23150.0,512,15432.35,✓,✗,2.99 ± 2.41 / 22.15 ± 2.57@@2.9914726788642443,86.62 ± 0.43 / 87.31 ± 0.44@@86.62398463905451,3.64 ± 3.82 / 49.77 ± 2.26@@3.6420423290102324,21.44 ± 2.62 / 13.84 ± 1.99@@21.44097157008896,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
AI-Nordics/bert-large-swedish-cased,3.95,335215616.0,30592.0,512,7199.47,✓,✗,2.93 ± 3.78 / 22.30 ± 4.06@@2.9312879265388343,83.22 ± 0.71 / 83.91 ± 0.66@@83.22474210478595,6.78 ± 3.31 / 51.53 ± 2.36@@6.784644053760856,22.00 ± 2.12 / 15.94 ± 1.67@@22.00277653566082,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),3.96,7241732096.0,32000.0,32768,5053.68,✓,✗,8.97 ± 6.97 / 27.85 ± 5.18@@8.9729133133353,58.96 ± 2.05 / 52.20 ± 2.50@@58.95932477349673,0.00 ± 0.00 / 33.26 ± 0.34@@0.0,54.89 ± 1.25 / 39.20 ± 1.10@@54.88700602652798,14.1.2@@140102,12.5.3@@120503,12.5.3@@120503,13.0.0@@130000
occiglot/occiglot-7b-eu5 (few-shot),3.96,7241732096.0,32000.0,4096,1428.39,✓,✗,10.39 ± 7.55 / 30.73 ± 6.92@@10.393248822120853,58.67 ± 3.95 / 58.47 ± 3.96@@58.6747114710463,0.00 ± 0.00 / 33.26 ± 0.34@@0.0,55.82 ± 1.95 / 40.95 ± 1.80@@55.822075256603725,14.1.2@@140102,12.5.2@@120502,12.1.0@@120100,13.0.0@@130000
mideind/IceBERT-igc,3.96,124442112.0,50000.0,512,12551.45,✓,✗,12.12 ± 5.60 / 32.60 ± 6.48@@12.12110315964756,83.82 ± 0.98 / 84.34 ± 0.88@@83.81577223793346,4.93 ± 3.16 / 45.85 ± 3.66@@4.931138702150285,7.88 ± 4.65 / 5.17 ± 2.95@@7.877217068233447,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/stsb-xlm-r-multilingual,3.98,278043648.0,250002.0,512,15039.9,✓,✗,18.07 ± 4.85 / 39.76 ± 3.32@@18.065052606711944,82.97 ± 0.83 / 83.62 ± 0.81@@82.96844005322941,2.93 ± 1.96 / 46.51 ± 4.19@@2.9288695845725328,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
KBLab/megatron-bert-base-swedish-cased-600k,4.0,135291648.0,64128.0,512,15725.82,✓,✗,7.39 ± 3.22 / 27.62 ± 2.64@@7.385447289625843,81.02 ± 0.75 / 81.74 ± 0.75@@81.01715478805215,4.00 ± 2.04 / 50.51 ± 1.11@@4.003974697788475,20.39 ± 1.75 / 12.98 ± 1.18@@20.394230440445853,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
senseable/WestLake-7B-v2 (few-shot),4.03,7241732096.0,32000.0,4096,1856.85,✗,✗,20.01 ± 4.67 / 38.23 ± 3.04@@20.008893138268398,67.42 ± 2.21 / 60.87 ± 3.22@@67.42204919098162,7.02 ± 1.56 / 49.32 ± 2.91@@7.023426462333307,7.03 ± 0.26 / 0.65 ± 0.17@@7.031666406664357,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
meta-llama/Llama-2-13b-hf (few-shot),4.03,13015866880.0,32000.0,4096,939.56,✓,✗,10.21 ± 8.53 / 30.25 ± 5.65@@10.207489597186765,52.85 ± 3.19 / 52.19 ± 3.16@@52.84526981496194,-0.48 ± 1.05 / 35.80 ± 3.05@@-0.4813908494272576,55.51 ± 2.27 / 41.15 ± 1.97@@55.51228202545286,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
KBLab/bert-base-swedish-cased-new,4.04,135193344.0,64000.0,512,15932.9,✓,✗,0.92 ± 4.36 / 23.25 ± 4.15@@0.9201688840783925,84.02 ± 0.86 / 84.66 ± 0.82@@84.01551328113541,5.65 ± 3.07 / 49.17 ± 3.05@@5.645933180882594,10.87 ± 3.52 / 7.14 ± 2.31@@10.870249592853837,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
MaLA-LM/emma-500-llama2-7b (few-shot),4.04,6738415616.0,32000.0,4096,6275.17,✓,✗,14.19 ± 8.12 / 28.15 ± 8.15@@14.194764117641459,40.18 ± 3.60 / 39.95 ± 3.38@@40.18039220871182,0.31 ± 1.71 / 41.35 ± 4.05@@0.30670007568254815,60.78 ± 2.12 / 41.60 ± 2.49@@60.782711130913285,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
flax-community/nordic-roberta-wiki,4.04,124645632.0,50265.0,512,16226.52,✓,✗,5.78 ± 2.10 / 24.21 ± 4.42@@5.775596345660592,82.64 ± 0.63 / 83.27 ± 0.65@@82.63746481303352,8.03 ± 2.01 / 51.96 ± 1.87@@8.028712204353791,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
meta-llama/Llama-2-7b-chat-hf (few-shot),4.05,6738417664.0,32000.0,4096,2643.05,✗,✗,13.24 ± 5.37 / 38.49 ± 4.97@@13.244435185451648,59.77 ± 3.38 / 56.97 ± 4.30@@59.77421316901208,-0.54 ± 1.61 / 36.94 ± 2.79@@-0.5387103096957067,46.21 ± 1.15 / 31.87 ± 2.20@@46.21357887429978,13.3.0@@130300,9.3.1@@90301,9.3.1@@90301,13.0.0@@130000
KBLab/megatron-bert-large-swedish-cased-110k,4.05,369554432.0,64128.0,512,7074.64,✓,✗,6.99 ± 2.15 / 31.03 ± 3.17@@6.985893759465823,82.36 ± 0.91 / 82.94 ± 0.90@@82.36213003083897,5.20 ± 2.67 / 50.88 ± 1.55@@5.202216869652254,4.33 ± 2.24 / 2.65 ± 1.46@@4.328558688846853,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
"claude-3-5-haiku-20241022 (zero-shot, val)",4.08,,,200000,199.99,✓,✗,-3.58 ± 4.03 / 14.94 ± 2.38@@-3.57985196605111,51.06 ± 1.45 / 30.27 ± 1.00@@51.056423566650025,4.10 ± 4.03 / 37.28 ± 1.78@@4.102288400818325,72.97 ± 1.19 / 45.29 ± 1.54@@72.97126011405365,14.0.2@@140002,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
google-bert/bert-base-multilingual-uncased,4.11,168055961.0,105879.0,512,43061.53,✓,✗,2.33 ± 1.48 / 20.95 ± 2.83@@2.327227797520877,73.06 ± 1.51 / 72.61 ± 1.40@@73.05550657075844,5.48 ± 2.42 / 49.18 ± 3.63@@5.475452374502286,18.32 ± 2.98 / 11.29 ± 2.19@@18.318723396393807,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/distilbert-multilingual-nli-stsb-quora-ranking,4.11,134734080.0,119547.0,512,33753.4,✓,✗,9.77 ± 3.39 / 32.64 ± 2.55@@9.76918193474779,82.91 ± 0.89 / 83.43 ± 0.87@@82.91465610752115,1.67 ± 2.22 / 46.20 ± 3.31@@1.6714401694588106,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/quora-distilbert-multilingual,4.11,135324672.0,119547.0,512,26458.45,✓,✗,9.77 ± 3.39 / 32.64 ± 2.55@@9.76918193474779,82.91 ± 0.89 / 83.43 ± 0.87@@82.91465610752115,1.67 ± 2.22 / 46.20 ± 3.31@@1.6714401694588106,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot),4.12,7452725248.0,250680.0,4096,1253.66,✗,✗,16.72 ± 4.87 / 41.68 ± 4.39@@16.71537350226729,46.64 ± 1.91 / 35.58 ± 2.47@@46.644506092691664,-1.54 ± 2.60 / 36.21 ± 2.51@@-1.5391759747603861,38.94 ± 4.72 / 18.69 ± 5.12@@38.94242131987307,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
Geotrend/distilbert-base-en-no-cased,4.14,68911104.0,33071.0,512,26597.05,✓,✗,4.40 ± 3.12 / 25.01 ± 4.58@@4.402607448894553,82.05 ± 0.46 / 82.67 ± 0.43@@82.05134073874554,3.98 ± 2.94 / 50.53 ± 1.83@@3.9809091332090096,1.92 ± 1.82 / 0.97 ± 1.01@@1.91849468627743,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
sentence-transformers/distiluse-base-multilingual-cased-v1,4.14,134734080.0,119547.0,512,34041.87,✓,✗,9.82 ± 2.60 / 36.40 ± 2.64@@9.818590357403586,75.63 ± 1.41 / 76.23 ± 1.36@@75.6307067697669,3.65 ± 1.93 / 48.34 ± 1.78@@3.654335860336751,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.6.1@@120601,<9.2.0@@0,13.0.0@@130000
sentence-transformers/distiluse-base-multilingual-cased-v2,4.14,134734080.0,119547.0,512,33246.61,✓,✗,9.59 ± 3.69 / 32.95 ± 3.64@@9.588646729336721,77.00 ± 1.08 / 77.85 ± 1.05@@77.00169075914943,4.09 ± 2.27 / 47.26 ± 3.09@@4.094342080825789,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.6.1@@120601,<9.2.0@@0,13.0.0@@130000
sentence-transformers/distiluse-base-multilingual-cased,4.14,135324672.0,119547.0,512,19205.51,✓,✗,10.41 ± 3.80 / 34.36 ± 3.61@@10.41185437432726,77.16 ± 0.93 / 78.00 ± 0.91@@77.16268062285494,4.09 ± 2.27 / 47.26 ± 3.09@@4.094342080825789,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.6.1@@120601,<9.2.0@@0,13.0.0@@130000
sentence-transformers/paraphrase-xlm-r-multilingual-v1,4.14,278044162.0,250002.0,512,20154.46,✓,✗,12.97 ± 2.96 / 31.99 ± 2.53@@12.96524325623935,80.92 ± 0.59 / 81.63 ± 0.56@@80.91635239089122,1.19 ± 2.37 / 43.13 ± 4.70@@1.1932474616961821,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.6.1@@120601,<9.2.0@@0,13.0.0@@130000
patrickvonplaten/norwegian-roberta-base,4.16,124645632.0,50265.0,512,15698.18,✓,✗,1.68 ± 4.03 / 18.08 ± 3.73@@1.6800254360295503,82.57 ± 0.93 / 83.35 ± 0.91@@82.56982241077581,5.74 ± 3.53 / 48.75 ± 3.22@@5.740399089737741,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
Geotrend/distilbert-base-25lang-cased,4.18,108781056.0,84985.0,512,26098.8,✓,✗,3.90 ± 4.05 / 25.25 ± 5.25@@3.9037225627038192,83.21 ± 0.53 / 83.81 ± 0.45@@83.20669624461988,2.37 ± 4.63 / 48.46 ± 3.19@@2.3733258978583986,2.54 ± 1.88 / 1.35 ± 1.03@@2.538047536903439,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
DDSC/roberta-base-danish,4.18,124645632.0,50265.0,512,15003.66,✓,✗,2.88 ± 4.40 / 23.61 ± 4.78@@2.8778551527188565,80.21 ± 0.95 / 80.80 ± 0.97@@80.20587813474674,1.10 ± 2.44 / 48.16 ± 1.47@@1.0976481725166873,11.84 ± 1.76 / 7.95 ± 1.36@@11.843936891493934,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,4.18,278043648.0,250002.0,512,15099.94,✓,✗,12.82 ± 3.51 / 33.99 ± 2.71@@12.821276683915444,81.70 ± 0.58 / 82.18 ± 0.53@@81.70317463283452,0.25 ± 2.87 / 44.81 ± 2.90@@0.24618502238048018,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.7.0@@120700,<9.2.0@@0,13.0.0@@130000
vesteinn/DanskBERT,4.18,124548012.0,50005.0,514,17068.99,✓,✗,2.02 ± 4.21 / 21.25 ± 5.15@@2.016523316226625,85.04 ± 0.57 / 85.72 ± 0.50@@85.03882685533515,4.48 ± 1.63 / 44.45 ± 4.77@@4.477119240499036,0.21 ± 0.39 / 0.15 ± 0.29@@0.20965189386242017,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
cardiffnlp/twitter-xlm-roberta-base,4.19,278043648.0,250002.0,514,42714.76,✓,✗,5.16 ± 3.25 / 23.12 ± 4.48@@5.159400147570205,83.96 ± 0.80 / 84.63 ± 0.76@@83.96016991142199,1.05 ± 1.66 / 41.31 ± 4.91@@1.0541362745276193,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
flax-community/swe-roberta-wiki-oscar,4.19,124645632.0,50265.0,512,15436.87,✓,✗,2.89 ± 3.05 / 27.56 ± 2.96@@2.8854623322602095,80.52 ± 0.76 / 81.35 ± 0.69@@80.52367214452163,6.51 ± 3.60 / 51.81 ± 1.95@@6.505731673831414,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,4.21,117654272.0,250037.0,512,29200.68,✓,✗,6.35 ± 5.07 / 29.58 ± 4.89@@6.354071726707702,82.24 ± 0.85 / 82.84 ± 0.78@@82.23545244131897,2.84 ± 1.41 / 50.47 ± 1.13@@2.843454960398464,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
KB/bert-base-swedish-cased,4.21,124690944.0,50325.0,512,16181.26,✓,✗,3.46 ± 2.02 / 20.63 ± 3.68@@3.463328396736355,82.76 ± 1.26 / 83.50 ± 1.20@@82.75676955112783,3.98 ± 2.70 / 47.46 ± 2.35@@3.9787874930857434,0.01 ± 0.02 / 0.00 ± 0.00@@0.008149959250203748,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
openGPT-X/Teuken-7B-instruct-commercial-v0.4 (few-shot),4.21,7452725248.0,250680.0,4096,1437.66,✓,✗,16.03 ± 6.81 / 39.68 ± 7.16@@16.02506392200135,39.78 ± 1.79 / 31.09 ± 2.58@@39.77766668268624,-0.48 ± 1.85 / 33.39 ± 0.49@@-0.47951576670071644,38.93 ± 4.09 / 20.04 ± 4.63@@38.92818502967837,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
meta-llama/Llama-2-13b-chat-hf (few-shot),4.23,13015866880.0,32000.0,4096,1719.8,✓,✗,18.87 ± 8.33 / 35.20 ± 7.31@@18.871894679328587,50.59 ± 2.14 / 39.95 ± 2.63@@50.58580727030997,-0.37 ± 1.76 / 38.17 ± 2.76@@-0.37483149976708896,23.78 ± 3.34 / 10.68 ± 3.12@@23.78197497532209,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
DeepPavlov/rubert-base-cased,4.23,177853440.0,119547.0,512,15785.19,✓,✗,0.56 ± 4.44 / 29.23 ± 3.77@@0.557413328641319,83.15 ± 0.73 / 83.90 ± 0.74@@83.14569140236145,3.21 ± 2.89 / 47.97 ± 3.56@@3.2090731999882127,2.95 ± 2.23 / 1.53 ± 1.23@@2.946500861521744,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
Twitter/twhin-bert-large,4.24,561713298.0,250002.0,512,9706.97,✓,✗,-0.64 ± 3.87 / 22.47 ± 3.96@@-0.6429613030541974,84.73 ± 1.49 / 85.19 ± 1.59@@84.72524538593437,1.37 ± 2.46 / 39.78 ± 3.24@@1.3685897648500212,5.74 ± 6.06 / 4.15 ± 4.39@@5.737610678836997,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
deepset/gbert-base,4.24,110552448.0,31102.0,512,37267.99,✓,✗,3.50 ± 3.59 / 26.43 ± 3.38@@3.5046337867196233,80.48 ± 0.91 / 81.17 ± 0.85@@80.48355476641753,0.60 ± 2.08 / 45.78 ± 2.54@@0.5958149117377195,4.63 ± 2.53 / 2.63 ± 1.57@@4.631396326174849,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
AI-Sweden-Models/gpt-sw3-20b (few-shot),4.24,20918423552.0,64000.0,2046,1875.24,✓,✗,9.53 ± 10.17 / 21.25 ± 6.67@@9.531803239901906,43.34 ± 3.46 / 42.22 ± 2.59@@43.341041084272,5.16 ± 2.64 / 49.92 ± 2.15@@5.155860708450242,28.96 ± 17.84 / 20.54 ± 12.67@@28.962292328625544,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
Twitter/twhin-bert-base,4.25,278828544.0,250002.0,512,11513.72,✓,✗,3.05 ± 3.68 / 27.70 ± 4.19@@3.046608891739434,84.00 ± 1.30 / 84.83 ± 1.28@@84.00092770495414,1.94 ± 2.58 / 46.27 ± 2.74@@1.9432292166887188,0.02 ± 0.05 / 0.02 ± 0.05@@0.023809523809523808,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
FacebookAI/roberta-base,4.27,124645632.0,50265.0,512,13353.56,✓,✗,4.85 ± 5.63 / 24.28 ± 7.08@@4.847346915917215,81.78 ± 0.95 / 82.55 ± 0.90@@81.78303556227311,-1.18 ± 2.36 / 37.68 ± 3.64@@-1.178490080412932,1.03 ± 1.15 / 0.69 ± 0.78@@1.0297266386279869,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
