model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
<a href='https://huggingface.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B (few-shot)</a>,🧠,2.26@@2.26,8829407232.0,64000.0,4096.0,✓,✗,79.08 ± 0.78 / 77.26 ± 1.45@@79.07549365134062,50.46 ± 1.74 / 31.25 ± 2.43@@50.45867924785578,27.79 ± 6.19 / 56.33 ± 6.06@@27.787208185385893,65.13 ± 0.73 / 59.74 ± 0.94@@65.12718858177539,63.95 ± 0.57 / 18.23 ± 0.56@@63.950193645287065,33.29 ± 1.12 / 50.00 ± 0.83@@33.29198653244255,31.47 ± 1.38 / 48.22 ± 1.10@@31.470999788574677,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
"<a href='https://huggingface.co/timpal0l/BeagleCatMunin2'>timpal0l/BeagleCatMunin2 (few-shot, val)</a>",🧠,2.26@@2.26,7241732096.0,32000.0,32768.0,✗,✓,73.72 ± 2.20 / 67.79 ± 2.37@@73.71557485682318,60.87 ± 3.71 / 47.40 ± 5.32@@60.87191985723145,6.78 ± 4.34 / 35.90 ± 2.11@@6.776158616881315,65.08 ± 1.15 / 58.75 ± 1.46@@65.08223962294417,68.06 ± 0.31 / 23.91 ± 0.64@@68.06351876584813,33.71 ± 2.28 / 50.08 ± 1.68@@33.70708527847219,41.45 ± 3.36 / 55.51 ± 2.69@@41.4460933510346,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/Qwen/Qwen1.5-7B'>Qwen/Qwen1.5-7B (few-shot)</a>,📝,2.27@@2.27,7721324544.0,151936.0,32768.0,✓,✗,77.92 ± 0.65 / 74.76 ± 1.71@@77.9194961548096,55.07 ± 2.40 / 43.64 ± 5.21@@55.06854115418225,28.62 ± 1.94 / 62.72 ± 1.72@@28.624121879331888,63.88 ± 0.43 / 58.58 ± 0.89@@63.87621393823669,62.69 ± 1.31 / 17.54 ± 0.73@@62.68737922320724,30.30 ± 0.52 / 47.59 ± 0.40@@30.299138807852945,35.02 ± 1.31 / 50.44 ± 1.24@@35.02100920556007,12.10.0@@121000,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100,12.11.0@@121100
<a href='https://huggingface.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B (few-shot)</a>,📝,2.27@@2.27,34980831232.0,256000.0,8192.0,✗,✗,79.15 ± 0.66 / 77.99 ± 0.93@@79.14683902683475,62.30 ± 2.08 / 41.44 ± 4.36@@62.29760810462703,19.93 ± 1.72 / 56.27 ± 1.68@@19.926090845454443,65.04 ± 0.54 / 58.03 ± 0.63@@65.03930692671034,64.81 ± 0.18 / 17.53 ± 0.29@@64.80607118195621,24.67 ± 1.19 / 42.40 ± 1.04@@24.66942660934464,31.43 ± 3.10 / 47.15 ± 2.83@@31.4298402981011,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
"<a href='https://huggingface.co/RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b'>RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)</a>",📝,2.27@@2.27,7241748480.0,32002.0,32768.0,✗,✓,72.04 ± 3.27 / 63.83 ± 2.07@@72.04258444469902,59.36 ± 2.75 / 47.08 ± 4.17@@59.35973185947731,22.38 ± 7.17 / 54.70 ± 5.49@@22.381422613925743,64.06 ± 1.76 / 57.96 ± 2.00@@64.05988257293836,65.13 ± 0.34 / 19.26 ± 0.43@@65.12940842541866,29.81 ± 2.25 / 47.46 ± 1.72@@29.810263209992964,35.59 ± 3.75 / 51.76 ± 2.63@@35.59460118325349,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302
<a href='https://huggingface.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B (few-shot)</a>,🧠,2.27@@2.27,9152319488.0,128000.0,4096.0,✓,✗,75.70 ± 1.96 / 78.00 ± 1.51@@75.69884415941044,51.85 ± 2.03 / 33.25 ± 3.75@@51.84524836291784,36.34 ± 4.21 / 60.20 ± 4.85@@36.344339457250214,64.76 ± 1.73 / 57.41 ± 3.97@@64.76462678523296,65.20 ± 0.50 / 19.30 ± 0.49@@65.19728955041501,30.34 ± 1.28 / 47.34 ± 0.86@@30.339628064874784,22.14 ± 1.65 / 39.34 ± 1.43@@22.139485021386403,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B (few-shot)</a>,🧠,2.27@@2.27,8030261248.0,128256.0,8192.0,✓,✗,80.91 ± 0.41 / 78.09 ± 1.22@@80.90602896469804,59.92 ± 2.46 / 40.98 ± 4.90@@59.917453384254515,26.39 ± 3.47 / 52.38 ± 4.49@@26.389354066270627,65.98 ± 0.67 / 60.05 ± 0.99@@65.98112910814663,63.94 ± 0.48 / 17.92 ± 0.37@@63.93913214953499,33.39 ± 0.95 / 49.21 ± 0.77@@33.392551208716476,20.21 ± 1.46 / 39.29 ± 1.54@@20.21364174574394,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct (few-shot)</a>,📝,2.27@@2.27,8030261248.0,128256.0,8192.0,✓,✗,59.93 ± 4.70 / 67.54 ± 3.04@@59.933786112286484,69.67 ± 1.30 / 52.94 ± 4.01@@69.66826842643418,27.63 ± 3.19 / 60.85 ± 3.29@@27.62533065909484,60.85 ± 0.93 / 49.84 ± 1.61@@60.85360463614178,66.60 ± 0.07 / 19.13 ± 0.31@@66.60191879738704,33.54 ± 1.40 / 49.20 ± 1.13@@33.54318887821226,30.32 ± 2.27 / 45.96 ± 1.87@@30.32008485503839,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
"<a href='https://huggingface.co/AI-Sweden-Models/tyr'>AI-Sweden-Models/tyr (few-shot, val)</a>",📝,2.28@@2.28,7241732096.0,32000.0,32768.0,✗,✓,78.30 ± 1.71 / 79.80 ± 2.03@@78.29801428116929,56.21 ± 2.49 / 44.78 ± 4.19@@56.20521437819236,14.35 ± 5.65 / 48.69 ± 4.30@@14.346861774368874,65.72 ± 1.07 / 61.08 ± 1.47@@65.72459609916159,67.96 ± 0.40 / 24.14 ± 0.74@@67.96414759126492,31.74 ± 2.48 / 48.52 ± 1.88@@31.736077907421574,30.12 ± 2.07 / 47.58 ± 1.29@@30.119799836323214,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
<a href='https://huggingface.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct (few-shot)</a>,📝,2.29@@2.29,9152319488.0,128000.0,4096.0,✗,✗,77.50 ± 0.90 / 75.08 ± 1.02@@77.49949895587555,48.22 ± 1.75 / 21.26 ± 1.82@@48.21761480119912,38.97 ± 1.91 / 65.37 ± 2.39@@38.96964800624744,64.79 ± 0.78 / 57.80 ± 1.31@@64.7879156632198,65.94 ± 0.12 / 17.51 ± 0.15@@65.93576337065315,29.53 ± 1.84 / 46.32 ± 1.58@@29.534272852012812,20.96 ± 2.09 / 38.64 ± 1.87@@20.9567438087428,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,15.0.0@@150000,15.0.0@@150000
"<a href='https://huggingface.co/birgermoell/Munin-NeuralBeagle-NorskGPT'>birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)</a>",🧠,2.29@@2.29,7241732096.0,32000.0,32768.0,✗,✓,73.72 ± 2.98 / 62.83 ± 1.64@@73.7195532799262,63.85 ± 2.67 / 47.77 ± 4.72@@63.85079788409984,-0.56 ± 2.24 / 33.54 ± 1.03@@-0.562034341586648,66.26 ± 1.19 / 60.10 ± 1.48@@66.26243615119438,68.11 ± 0.21 / 23.63 ± 0.56@@68.11179503099993,27.79 ± 2.32 / 45.82 ± 1.61@@27.788224379368575,42.43 ± 2.76 / 56.52 ± 2.13@@42.43208980125965,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
"<a href='https://huggingface.co/birgermoell/WestLake-Munin-Cat-NorskGPT'>birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)</a>",🧠,2.29@@2.29,7241732096.0,32000.0,32768.0,✗,✓,73.72 ± 2.98 / 62.83 ± 1.64@@73.7195532799262,63.85 ± 2.67 / 47.77 ± 4.72@@63.85079788409984,-0.56 ± 2.24 / 33.54 ± 1.03@@-0.562034341586648,66.26 ± 1.19 / 60.10 ± 1.48@@66.26243615119438,68.11 ± 0.21 / 23.63 ± 0.56@@68.11179504031315,27.79 ± 2.32 / 45.82 ± 1.61@@27.788224379368575,42.43 ± 2.76 / 56.52 ± 2.13@@42.43208980125965,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/CohereForAI/c4ai-command-r7b-12-2024'>CohereForAI/c4ai-command-r7b-12-2024 (few-shot)</a>,📝,2.29@@2.29,8028033024.0,256000.0,4096.0,✗,✗,77.63 ± 0.48 / 74.71 ± 0.94@@77.62761054490437,54.64 ± 1.79 / 26.05 ± 2.44@@54.638278465789845,19.96 ± 1.52 / 56.60 ± 2.12@@19.956900076495312,64.52 ± 0.69 / 56.56 ± 0.81@@64.52269954289075,65.54 ± 0.25 / 17.76 ± 0.47@@65.53853293778957,33.97 ± 0.94 / 50.24 ± 0.76@@33.97063604202247,28.93 ± 1.52 / 45.95 ± 1.23@@28.93110190030379,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.9'>merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)</a>",🧠,2.30@@2.30,7241732096.0,32000.0,32768.0,✓,✓,76.38 ± 2.01 / 78.30 ± 2.42@@76.37677418929204,46.61 ± 3.11 / 34.10 ± 4.61@@46.60624940572098,34.16 ± 4.39 / 60.06 ± 4.67@@34.155238299691085,63.50 ± 1.47 / 58.77 ± 1.76@@63.49895290393023,66.77 ± 0.46 / 22.42 ± 0.84@@66.77041968796402,29.77 ± 2.44 / 46.25 ± 1.64@@29.76776974203209,25.38 ± 3.56 / 39.34 ± 3.89@@25.380507555443366,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/senseable/WestLake-7B-v2'>senseable/WestLake-7B-v2 (few-shot)</a>,🧠,2.30@@2.30,7241732096.0,32000.0,4096.0,✗,✗,78.63 ± 0.86 / 78.63 ± 1.06@@78.62902860479824,56.93 ± 1.46 / 39.45 ± 3.78@@56.93103693761914,17.00 ± 2.10 / 47.66 ± 3.44@@17.002452719257004,59.72 ± 0.64 / 48.67 ± 1.34@@59.72449733164988,66.07 ± 0.23 / 19.80 ± 0.39@@66.07023277319968,31.97 ± 1.08 / 48.78 ± 0.82@@31.96716995827379,35.66 ± 1.12 / 51.10 ± 1.11@@35.659931512890104,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410 (few-shot)</a>,📝,2.30@@2.30,8019808256.0,131072.0,32768.0,✓,✗,73.66 ± 1.43 / 75.70 ± 0.96@@73.65987877280892,54.76 ± 1.82 / 31.21 ± 2.67@@54.757049097291954,16.17 ± 2.98 / 42.93 ± 2.72@@16.170147310834984,65.27 ± 0.58 / 57.94 ± 0.58@@65.27288019159556,65.95 ± 0.08 / 17.10 ± 0.06@@65.94955285094329,30.08 ± 1.00 / 46.33 ± 0.78@@30.080831915993407,39.51 ± 1.84 / 53.10 ± 1.65@@39.50991142463224,15.0.0@@150000,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://huggingface.co/birgermoell/BeagleCatMunin-Flashback-Bellman'>birgermoell/BeagleCatMunin-Flashback-Bellman (few-shot, val)</a>",🧠,2.31@@2.31,7241732096.0,32000.0,32768.0,✗,✓,76.99 ± 2.37 / 76.84 ± 2.99@@76.98664631875297,52.96 ± 3.45 / 41.51 ± 4.30@@52.96129818458763,14.27 ± 4.36 / 40.60 ± 3.04@@14.26738320492143,64.87 ± 1.47 / 59.92 ± 1.64@@64.87220732862056,67.62 ± 0.42 / 23.90 ± 0.77@@67.6181511010509,27.95 ± 2.57 / 45.86 ± 1.85@@27.950125868031478,36.11 ± 3.54 / 51.60 ± 2.44@@36.111191292786955,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.2@@120502,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
"<a href='https://huggingface.co/birgermoell/Rapid-Cycling'>birgermoell/Rapid-Cycling (few-shot, val)</a>",🧠,2.31@@2.31,7241732096.0,32000.0,32768.0,✗,✓,77.72 ± 2.51 / 78.40 ± 2.65@@77.71765518302149,53.66 ± 3.57 / 41.97 ± 4.83@@53.65862226533824,16.22 ± 4.46 / 43.17 ± 3.88@@16.22481616576175,64.72 ± 1.04 / 59.75 ± 1.13@@64.71937804389108,67.57 ± 0.48 / 23.65 ± 0.72@@67.56762440665625,27.24 ± 2.07 / 45.51 ± 1.53@@27.24393046311929,32.04 ± 4.21 / 48.67 ± 3.11@@32.03971852615672,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302,12.5.2@@120502,9.3.2@@90302,9.3.2@@90302,9.3.2@@90302
mhenrichsen/danskgpt-chat-v2.1 (few-shot)</a>,📝,2.31@@2.31,,32002.0,32768.0,✓,✗,75.98 ± 1.15 / 74.44 ± 1.12@@75.98028073165499,54.37 ± 3.04 / 42.16 ± 4.00@@54.367436721357954,17.98 ± 1.97 / 56.01 ± 2.08@@17.976268033008335,64.24 ± 0.61 / 55.07 ± 0.74@@64.23729617935199,64.42 ± 0.09 / 14.42 ± 0.51@@64.42419213650282,32.81 ± 0.91 / 49.28 ± 0.64@@32.811142346128776,36.24 ± 1.44 / 51.96 ± 1.13@@36.243240537951145,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000,12.0.0@@120000
<a href='https://huggingface.co/bineric/NorskGPT-Mistral-7b'>bineric/NorskGPT-Mistral-7b (few-shot)</a>,📝,2.32@@2.32,7241732096.0,32000.0,32768.0,✗,✗,74.30 ± 1.26 / 60.35 ± 0.41@@74.3039098473843,58.40 ± 2.62 / 40.55 ± 3.65@@58.39701874665533,0.00 ± 0.00 / 33.37 ± 0.27@@0.0,65.78 ± 0.72 / 59.16 ± 1.23@@65.78386511918214,65.36 ± 0.14 / 18.81 ± 0.17@@65.35741670348216,35.01 ± 0.99 / 51.07 ± 0.70@@35.005743192824866,43.72 ± 0.69 / 57.66 ± 0.50@@43.718472631079116,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.5.1@@120501,11.0.0@@110000,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/tiiuae/Falcon3-10B-Instruct'>tiiuae/Falcon3-10B-Instruct (few-shot)</a>,📝,2.34@@2.34,10305653760.0,131072.0,32768.0,✓,✗,77.17 ± 0.90 / 75.70 ± 1.49@@77.16565089460545,55.16 ± 2.18 / 46.08 ± 2.86@@55.15680678197638,19.89 ± 0.78 / 58.05 ± 1.38@@19.885528500414793,62.90 ± 0.47 / 55.21 ± 0.77@@62.89576428591395,65.28 ± 0.18 / 18.88 ± 0.20@@65.28475941042416,31.87 ± 0.84 / 48.96 ± 0.64@@31.872533461605133,27.91 ± 1.30 / 45.91 ± 0.97@@27.912788471590606,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/timpal0l/Llama-3-8B-flashback-v1'>timpal0l/Llama-3-8B-flashback-v1 (few-shot)</a>,🧠,2.34@@2.34,8030261248.0,128256.0,8192.0,✓,✗,81.97 ± 0.56 / 81.46 ± 0.69@@81.96602320075857,57.01 ± 1.71 / 43.34 ± 3.83@@57.00511915128948,31.16 ± 1.80 / 59.86 ± 3.31@@31.16171600192132,60.85 ± 1.80 / 53.99 ± 1.82@@60.85404517304073,63.70 ± 1.01 / 17.34 ± 0.53@@63.70322255505017,29.77 ± 1.40 / 46.79 ± 1.02@@29.77087402678169,15.86 ± 1.87 / 35.85 ± 1.86@@15.859144780626968,14.1.2@@140102,14.1.1@@140101,14.1.2@@140102,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
"<a href='https://huggingface.co/mlabonne/AlphaMonarch-7B'>mlabonne/AlphaMonarch-7B (few-shot, val)</a>",📝,2.36@@2.36,7241732096.0,32000.0,8192.0,✗,✓,67.03 ± 3.61 / 70.77 ± 1.95@@67.02967045765908,60.53 ± 3.06 / 48.45 ± 5.19@@60.53406926142182,15.10 ± 4.60 / 48.57 ± 2.91@@15.09799361333625,53.50 ± 1.40 / 42.46 ± 1.63@@53.503862643441025,67.94 ± 0.21 / 22.99 ± 0.24@@67.94268443249166,27.51 ± 3.08 / 45.43 ± 2.37@@27.51357706662275,42.29 ± 5.08 / 55.43 ± 4.50@@42.291453748919494,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502,12.5.2@@120502
<a href='https://huggingface.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b (few-shot)</a>,📝,2.36@@2.36,8028033024.0,256000.0,8192.0,✗,✗,76.53 ± 1.09 / 77.29 ± 1.16@@76.53175492691418,43.56 ± 2.89 / 24.28 ± 1.31@@43.55854464736096,14.52 ± 2.43 / 45.18 ± 4.21@@14.517635570529608,63.00 ± 0.50 / 53.14 ± 1.81@@62.9952652449615,65.69 ± 0.22 / 19.95 ± 0.16@@65.6929546892934,37.32 ± 0.70 / 52.95 ± 0.50@@37.32019811675823,38.28 ± 1.31 / 53.70 ± 0.97@@38.28294448697152,15.3.1.dev0@@150301,15.3.1.dev0@@150301,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
"<a href='https://huggingface.co/merge-crew/da-sv-ties'>merge-crew/da-sv-ties (few-shot, val)</a>",🧠,2.37@@2.37,7241732096.0,32000.0,32768.0,✓,✓,76.57 ± 2.19 / 78.11 ± 2.73@@76.56552160195197,48.36 ± 3.07 / 34.48 ± 5.22@@48.357376842064944,20.94 ± 5.55 / 44.72 ± 4.06@@20.936063616005512,63.87 ± 1.46 / 59.07 ± 1.90@@63.87274008358253,66.59 ± 0.50 / 22.19 ± 0.78@@66.59195616608486,31.44 ± 1.94 / 47.30 ± 1.54@@31.437374613497553,26.04 ± 3.42 / 38.83 ± 4.24@@26.04134741419581,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/Mabeck/Heidrun-Mistral-7B-chat'>Mabeck/Heidrun-Mistral-7B-chat (few-shot)</a>,📝,2.38@@2.38,7241732096.0,32000.0,32768.0,✗,✗,77.50 ± 0.90 / 73.87 ± 1.21@@77.49615701690435,55.06 ± 2.38 / 41.39 ± 4.31@@55.060246569951566,17.47 ± 2.33 / 47.73 ± 3.35@@17.46784831423539,64.58 ± 0.78 / 58.67 ± 0.96@@64.58081935701264,64.18 ± 0.24 / 18.13 ± 0.35@@64.18368748141802,31.04 ± 1.08 / 48.29 ± 0.82@@31.03998440401556,23.57 ± 1.68 / 42.37 ± 1.34@@23.57226460440575,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,12.5.0@@120500,12.5.0@@120500,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/timpal0l/njord-alpha'>timpal0l/njord-alpha (few-shot)</a>,🧠,2.38@@2.38,7241732096.0,32000.0,32768.0,✓,✗,79.95 ± 0.87 / 81.24 ± 0.64@@79.94567536739041,48.19 ± 2.55 / 37.50 ± 3.62@@48.188546292761636,32.85 ± 2.28 / 61.74 ± 3.05@@32.84973108404678,63.58 ± 1.19 / 57.39 ± 1.52@@63.58051377746917,65.95 ± 0.25 / 20.56 ± 0.37@@65.95154044451192,25.32 ± 0.99 / 42.09 ± 1.04@@25.316502690495334,14.55 ± 2.32 / 31.99 ± 2.16@@14.549203232636081,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700
<a href='https://huggingface.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B (few-shot)</a>,📝,2.39@@2.39,3606752256.0,128256.0,131072.0,✓,✗,73.76 ± 0.78 / 69.52 ± 1.43@@73.75528675734128,44.09 ± 2.33 / 30.12 ± 2.14@@44.09163760949319,24.84 ± 1.95 / 53.40 ± 2.18@@24.838531970887388,62.36 ± 0.65 / 53.23 ± 0.64@@62.36179358167266,65.64 ± 0.09 / 17.01 ± 0.20@@65.63558519279468,29.21 ± 0.61 / 46.72 ± 0.57@@29.20566453242699,33.24 ± 2.17 / 49.33 ± 1.78@@33.237456603551365,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500,15.5.0@@150500
"<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.6'>merge-crew/da-sv-dare-ties-density-0.6 (few-shot, val)</a>",🧠,2.39@@2.39,7241732096.0,32000.0,32768.0,✓,✓,78.74 ± 2.13 / 80.11 ± 2.64@@78.73615361687827,45.12 ± 2.72 / 30.73 ± 4.55@@45.118047593366796,19.74 ± 6.09 / 46.97 ± 5.83@@19.73999686839305,65.22 ± 1.28 / 60.15 ± 1.71@@65.22389687040699,66.41 ± 0.46 / 21.90 ± 0.70@@66.40681071789004,31.24 ± 3.01 / 47.77 ± 2.19@@31.241400427378785,22.30 ± 3.50 / 39.45 ± 2.60@@22.30018369464871,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
danish-foundation-models/munin-7b-v0.1dev0 (few-shot)</a>,🧠,2.41@@2.41,7241732096.0,32000.0,8192.0,✓,✗,73.05 ± 5.27 / 74.56 ± 4.19@@73.04899523240094,47.10 ± 2.60 / 35.06 ± 3.65@@47.09527970520079,30.29 ± 2.63 / 61.40 ± 3.22@@30.289124311309017,63.51 ± 1.04 / 57.39 ± 1.38@@63.51087289061678,64.69 ± 0.53 / 19.03 ± 0.41@@64.69130573925213,27.40 ± 0.76 / 44.17 ± 0.82@@27.395243095434207,21.08 ± 3.28 / 38.46 ± 2.96@@21.084917183908793,12.4.0@@120400,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400
<a href='https://huggingface.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01 (few-shot)</a>,📝,2.41@@2.41,34980831232.0,256000.0,8192.0,✗,✗,80.24 ± 0.75 / 78.86 ± 1.28@@80.24479175468974,47.15 ± 2.31 / 29.98 ± 2.07@@47.14947660282417,11.35 ± 1.20 / 41.82 ± 1.41@@11.35306936750032,61.00 ± 1.14 / 49.93 ± 1.69@@61.00450558321959,65.30 ± 0.09 / 17.12 ± 0.25@@65.29512809356675,29.64 ± 1.87 / 46.27 ± 1.65@@29.63702759676179,31.96 ± 1.53 / 48.43 ± 1.09@@31.963924863682987,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M (few-shot)</a>,📝,2.41@@2.41,,,,✓,✗,74.40 ± 1.45 / 72.30 ± 1.77@@74.40036528508051,51.31 ± 2.58 / 34.00 ± 3.68@@51.306509168619684,28.21 ± 2.31 / 61.68 ± 2.06@@28.213583914124385,56.04 ± 0.63 / 43.94 ± 1.10@@56.04357622041694,64.17 ± 0.19 / 15.19 ± 0.22@@64.166525927576,29.09 ± 1.15 / 46.32 ± 1.03@@29.088461174560365,26.16 ± 1.73 / 44.33 ± 1.32@@26.157408693559535,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt (few-shot)</a>,🧠,2.41@@2.41,4300079472.0,262144.0,,✓,✗,80.12 ± 1.46 / 80.41 ± 1.12@@80.12155568919205,40.81 ± 1.92 / 38.65 ± 1.79@@40.807379185577844,21.68 ± 5.39 / 48.65 ± 5.71@@21.676542313582093,64.72 ± 0.61 / 59.34 ± 0.94@@64.71873466188524,64.57 ± 0.31 / 18.45 ± 0.55@@64.56650073931087,35.34 ± 0.96 / 51.02 ± 0.84@@35.34032386597301,19.02 ± 1.71 / 38.23 ± 1.34@@19.018362309072607,15.5.0@@150500,15.5.0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/alpindale/Mistral-7B-v0.2-hf'>alpindale/Mistral-7B-v0.2-hf (few-shot)</a>,🧠,2.42@@2.42,7241732096.0,32000.0,32768.0,✓,✗,78.90 ± 0.95 / 78.62 ± 1.08@@78.90474207914288,48.96 ± 2.72 / 39.25 ± 3.69@@48.962758245528505,10.82 ± 3.46 / 38.95 ± 3.80@@10.820478559697126,64.72 ± 0.76 / 58.91 ± 1.02@@64.7162544982619,64.78 ± 0.33 / 19.24 ± 0.42@@64.78155708653503,34.52 ± 1.19 / 50.47 ± 0.93@@34.52037899058858,20.96 ± 1.96 / 39.95 ± 1.66@@20.961434366001523,12.5.1@@120501,12.5.2@@120502,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501
